sno,Player_Name,First_Match,Last_Match,Matches_Played,Innings,NotOuts,Runs,Highest_Score,Average,Balls_Bowled,Maiden_Overs,Runs_Given,Wickets,Average,Catches,Stumped
1,Syed Abid Ali,1974,1975,5,3,0,93,70,31,336,10,187,7,26.71,0,0
2,Bishan Singh Bedi,1974,1979,10,7,2,31,13,6.2,590,17,340,7,48.57,4,0
3,Farokh Engineer,1974,1975,5,4,1,114,54,38,,,,,,3,1
4,Sunil Gavaskar,1974,1987,108,102,14,3092,103,35.13,20,0,25,1,25,22,0
5,Madan Lal,1974,1987,67,35,14,401,53,19.09,3164,44,2137,73,29.27,18,0
6,Sudhir Naik,1974,1974,2,2,0,38,20,19,,,,,,0,0
7,Brijesh Patel,1974,1979,10,9,1,243,82,30.37,,,,,,1,0
8,Eknath Solkar,1974,1976,7,6,0,27,13,4.5,252,4,169,4,42.25,2,0
9,Srinivasaraghavan Venkataraghavan,1974,1983,15,9,4,54,26,10.8,868,7,542,5,108.4,4,0
10,Gundappa Viswanath,1974,1982,25,23,1,439,75,19.95,,,,,,3,0
11,Ajit Wadekar,1974,1974,2,2,0,73,67,36.5,,,,,,1,0
12,Gopal Bose,1974,1974,1,1,0,13,13,13,66,2,39,1,39,0,0
13,Ashok Mankad,1974,1974,1,1,0,44,44,44,35,0,47,1,47,0,0
14,Mohinder Amarnath,1975,1989,85,75,12,1924,102,30.53,2730,17,1971,46,42.84,23,0
15,Anshuman Gaekwad,1975,1987,15,14,1,269,78,20.69,48,0,39,1,39,6,0
16,Karsan Ghavri,1975,1981,19,16,6,114,20,11.4,1033,12,708,15,47.2,2,0
17,Syed Kirmani,1976,1986,49,31,13,373,48,20.72,,,,,,27,9
18,Parthasarathy Sharma,1976,1976,2,2,0,20,14,10,,,,,,0,0
19,Dilip Vengsarkar,1976,1991,129,120,19,3508,105,34.73,6,0,4,0,,37,0
20,B. S. Chandrasekhar,1976,1976,1,1,1,11,11,,56,0,36,3,12,0,0
21,Pochiah Krishnamurthy,1976,1976,1,1,0,6,6,6,,,,,,1,1
22,Sudhakar Rao,1976,1976,1,1,0,4,4,4,,,,,,1,0
23,Surinder Amarnath,1978,1978,3,3,0,100,62,33.33,,,,,,1,0
24,Chetan Chauhan,1978,1981,7,7,0,153,46,21.85,,,,,,3,0
25,Kapil Dev,1978,1994,225,198,39,3783,175,23.79,11202,235,6945,253,27.45,71,0
26,Yashpal Sharma,1978,1985,42,40,9,883,89,28.48,201,0,199,1,199,10,0
27,Bharath Reddy,1978,1981,3,2,2,11,8,,,,,,,2,0
28,Surinder Khanna,1979,1984,10,10,2,176,56,22,,,,,,4,4
29,Kirti Azad,1980,1986,25,21,2,269,39,14.15,390,4,273,7,39,7,0
30,Roger Binny,1980,1987,72,49,10,629,57,16.12,2957,37,2260,77,29.35,12,0
31,Dilip Doshi,1980,1982,15,5,2,9,5,3,792,8,524,22,23.81,3,0
32,Sandeep Patil,1980,1986,45,42,1,1005,84,24.51,864,9,589,15,39.26,11,0
33,T. E. Srinivasan,1980,1981,2,2,0,10,6,5,,,,,,0,0
34,Yograj Singh,1980,1981,6,4,2,1,1,0.5,244,4,186,4,46.5,2,0
35,Randhir Singh,1981,1983,2,,,,,,72,0,48,1,48,0,0
36,Ravi Shastri,1981,1992,150,128,21,3108,109,29.04,6613,56,4650,129,36.04,40,0
37,Krishnamachari Srikkanth,1981,1992,146,145,4,4091,123,29.01,712,3,641,25,25.64,42,0
38,Suru Nayak,1981,1982,4,1,0,3,3,3,222,4,161,1,161,1,0
39,Arun Lal,1982,1989,13,13,0,122,51,9.38,,,,,,4,0
40,Ashok Malhotra,1982,1986,20,19,4,457,65,30.46,6,1,0,0,,4,0
41,Ghulam Parkar,1982,1984,10,10,1,165,42,18.33,,,,,,4,0
42,Balwinder Sandhu,1982,1984,22,7,3,51,16,12.75,1110,15,763,16,47.68,5,0
43,Maninder Singh,1983,1993,59,18,14,49,8,12.25,3133,33,2066,66,31.3,18,0
44,T. A. Sekhar,1983,1985,4,,,,,,156,0,128,5,25.6,0,0
45,Chetan Sharma,1983,1994,65,35,16,456,101,24,2835,19,2336,67,34.86,7,0
46,Raju Kulkarni,1983,1987,10,5,3,33,15,16.5,444,4,345,10,34.5,2,0
47,Manoj Prabhakar,1984,1996,130,98,21,1858,106,24.12,6360,76,4534,157,28.87,27,0
48,Ashok Patel,1984,1985,8,2,0,6,6,3,360,4,263,7,37.57,1,0
49,Rajinder Ghai,1984,1986,6,1,0,1,1,1,275,1,260,3,86.66,0,0
50,Kiran More,1984,1993,94,65,22,563,42,13.09,,,,,,63,27
51,Mohammad Azharuddin,1985,2000,334,308,54,9378,153,36.92,552,1,479,12,39.91,156,0
52,Sadanand Viswanath,1985,1988,22,12,4,72,23,9,,,,,,17,7
53,Lalchand Rajput,1985,1987,4,4,1,9,8,3,42,0,42,0,,2,0
54,Laxman Sivaramakrishnan,1985,1987,16,4,2,5,2,2.5,756,5,538,15,35.86,7,0
55,Gopal Sharma,1985,1987,11,2,0,11,7,5.5,486,1,361,10,36.1,2,0
56,Shivlal Yadav,1986,1987,7,2,2,1,1,,330,3,228,8,28.5,1,0
57,Chandrakant Pandit,1986,1992,36,23,9,290,33,20.71,,,,,,15,15
58,Raman Lamba,1986,1989,32,31,2,783,102,27,19,0,20,1,20,10,0
59,R. P. Singh,1986,1986,2,,,,,,82,1,77,1,77,0,0
60,Bharat Arun,1986,1987,4,3,1,21,8,10.5,102,0,103,1,103,0,0
61,Navjot Singh Sidhu,1987,1998,136,127,8,4413,134,37.08,4,0,3,0,,20,0
62,Arshad Ayub,1987,1990,32,17,7,116,31,11.6,1769,19,1216,31,39.22,5,0
63,Woorkeri Raman,1988,1996,27,27,1,617,114,23.73,162,2,170,2,85,2,0
64,Ajay Sharma,1988,1993,31,27,6,424,59,20.19,1140,5,875,15,58.33,6,0
65,Sanjeev Sharma,1988,1990,23,12,4,80,28,10,979,6,813,22,36.95,7,0
66,Sanjay Manjrekar,1988,1996,74,70,10,1994,105,33.23,8,0,10,1,10,23,0
67,Narendra Hirwani,1988,1992,18,7,3,8,4,2,960,6,719,23,31.26,2,0
68,V. B. Chandrasekhar,1988,1990,7,7,0,88,53,12.57,,,,,,0,0
69,Rashid Patel,1988,1988,1,,,,,,60,1,58,0,,0,0
70,M. Venkataramana,1988,1988,1,1,1,0,0,,60,0,36,2,18,0,0
71,Robin Singh,1989,2001,136,113,23,2336,100,25.95,3734,28,2985,69,43.26,33,0
72,Salil Ankola,1989,1997,20,13,4,34,9,3.77,807,4,615,13,47.3,2,0
73,Vivek Razdan,1989,1990,3,3,1,23,18,11.5,84,0,77,1,77,4,0
74,Sachin Tendulkar,1989,2012,463,452,41,18426,200,44.83,8054,24,6850,154,44.48,140,0
75,Venkatapathy Raju,1990,1996,53,16,8,32,8,4,2770,16,2014,63,31.96,8,0
76,Atul Wassan,1990,1991,9,6,2,33,16,8.25,426,0,283,11,25.72,2,0
77,Gursharan Singh,1990,1990,1,1,0,4,4,4,,,,,,1,0
78,Anil Kumble,1990,2007,269,134,47,903,26,10.37,14376,109,10300,337,30.56,85,0
79,Saradindu Mukherjee,1990,1991,3,1,1,2,2,,174,2,98,2,49,1,0
80,Vinod Kambli,1991,2000,104,97,21,2477,106,32.59,4,0,7,1,7,15,0
81,Javagal Srinath,1991,2003,229,121,38,883,53,10.63,11935,137,8847,315,28.08,32,0
82,Pravin Amre,1991,1994,37,30,5,513,84,20.52,2,0,4,0,,12,0
83,Subroto Banerjee,1991,1992,6,5,3,49,25,24.5,240,4,202,5,40.4,3,0
84,Sourav Ganguly,1992,2007,308,297,23,11221,183,40.95,4543,30,3835,100,38.35,99,0
85,Ajay Jadeja,1992,2000,196,179,36,5359,119,37.47,1248,2,1094,20,54.7,59,0
86,Vijay Yadav,1992,1994,19,12,2,118,34,11.8,,,,,,12,7
87,Rajesh Chauhan,1993,1997,35,18,5,132,32,10.15,1634,12,1216,29,41.93,10,0
88,Nayan Mongia,1994,2000,140,96,33,1272,69,20.19,,,,,,110,44
89,Venkatesh Prasad,1994,2001,161,63,31,221,19,6.9,8129,79,6332,196,32.3,37,0
90,Atul Bedade,1994,1994,13,10,3,158,51,22.57,,,,,,4,0
91,"Bhupinder Singh, Sr.",1994,1994,2,1,0,6,6,6,102,1,78,3,26,0,0
92,Aashish Kapoor,1995,2000,17,6,0,43,19,7.16,900,5,612,8,76.5,1,0
93,Prashant Vaidya,1995,1996,4,2,0,15,12,7.5,184,1,174,4,43.5,2,0
94,Utpal Chatterjee,1995,1995,3,2,1,6,3,6,161,0,117,3,39,1,0
95,Rahul Dravid,1996,2011,340,314,39,10768,153,39.15,186,1,170,4,42.5,196,14
96,Vikram Rathour,1996,1997,7,7,0,193,54,27.57,,,,,,4,0
97,Paras Mhambrey,1996,1998,3,1,1,7,7,,126,1,120,3,40,0,0
98,Sunil Joshi,1996,2001,69,45,11,584,61,17.17,3386,33,2509,69,36.36,19,0
99,Sujith Somasunder,1996,1996,2,2,0,16,9,8,,,,,,0,0
100,Pankaj Dharmani,1996,1996,1,1,0,8,8,8,,,,,,0,0
101,Saba Karim,1997,2000,34,27,4,362,55,15.73,,,,,,27,3
102,Dodda Ganesh,1997,1997,1,1,0,4,4,4,30,0,20,1,20,0,0
103,Abey Kuruvilla,1997,1997,25,11,4,26,7,3.71,1131,18,890,25,35.6,4,0
104,Noel David,1997,1997,4,2,2,9,8,,192,1,133,4,33.25,0,0
105,Nilesh Kulkarni,1997,1998,10,5,3,11,5,5.5,402,3,357,11,32.45,2,0
106,Harvinder Singh,1997,2001,16,5,1,6,3,1.5,686,6,609,24,25.37,6,0
107,Debashish Mohanty,1997,2001,45,11,6,28,18,5.6,1996,21,1662,57,29.15,10,0
108,Sairaj Bahutule,1997,2003,8,4,1,23,11,7.66,294,0,283,2,141.5,3,0
109,Hrishikesh Kanitkar,1997,2000,34,27,8,339,57,17.84,1006,4,803,17,47.23,14,0
110,Rahul Sanghvi,1998,1998,10,2,0,8,8,4,498,1,399,10,39.9,4,0
111,Ajit Agarkar,1998,2007,191,113,26,1269,95,14.58,9484,100,8021,288,27.85,52,0
112,V. V. S. Laxman,1998,2006,86,83,7,2338,131,30.76,42,0,40,0,,39,0
113,Harbhajan Singh,1998,2015,234,126,35,1213,49,13.32,12359,83,8872,265,33.47,71,0
114,Gagan Khoda,1998,1998,2,2,0,115,89,57.5,,,,,,0,0
115,M. S. K. Prasad,1998,1999,17,11,2,131,63,14.55,,,,,,14,7
116,Nikhil Chopra,1998,2000,39,26,6,310,61,15.5,1835,21,1286,46,27.95,16,0
117,Jatin Paranjpe,1998,1998,4,4,1,54,27,18,,,,,,2,0
118,Sanjay Raul,1998,1998,2,2,0,8,8,4,36,1,27,1,27,0,0
119,Laxmi Ratan Shukla,1999,1999,3,2,0,18,13,9,114,0,94,1,94,1,0
120,Gyanendra Pandey,1999,1999,2,2,1,4,4,4,78,1,60,0,,0,0
121,Amay Khurasiya,1999,2001,12,11,0,149,57,13.54,,,,,,3,0
122,Sadagoppan Ramesh,1999,1999,24,24,1,646,82,28.08,36,0,38,1,38,3,0
123,Virender Sehwag,1999,2013,241,235,9,7995,219,35.37,4290,13,3737,94,39.75,90,0
124,Jacob Martin,1999,2001,10,8,1,158,39,22.57,,,,,,6,0
125,Vijay Bharadwaj,1999,2002,10,9,4,136,41,27.2,372,3,307,16,19.18,4,0
126,Thirunavukkarasu Kumaran,1999,2000,8,3,0,19,8,6.33,378,4,348,9,38.66,3,0
127,Devang Gandhi,1999,2000,3,3,0,49,30,16.33,,,,,,0,0
128,Sameer Dighe,2000,2001,23,17,6,256,94,23.27,,,,,,19,5
129,Sridharan Sriram,2000,2004,8,7,1,81,57,13.5,324,1,274,9,30.44,1,0
130,Hemang Badani,2000,2004,40,36,10,867,100,33.34,183,0,149,3,49.66,13,0
131,Amit Bhandari,2000,2004,2,1,1,,0,,106,0,106,5,21.2,0,0
132,Vijay Dahiya,2000,2001,19,15,2,216,51,16.61,,,,,,19,5
133,Zaheer Khan,2000,2012,194,96,31,753,34,11.58,9815,112,8102,269,30.11,43,0
134,Yuvraj Singh,2000,2017,301,275,39,8609,150,36.47,4988,18,4227,110,38.42,93,0
135,Reetinder Singh Sodhi,2000,2002,18,14,3,280,67,25.45,462,3,365,5,73,9,0
136,Dinesh Mongia,2001,2007,57,51,7,1230,159,27.95,640,1,571,14,40.78,21,0
137,Ashish Nehra,2001,2011,117,45,21,140,24,5.83,5637,53,4899,155,31.6,17,0
138,Shiv Sunder Das,2001,2002,4,4,1,39,30,13,,,,,,0,0
